Frame #,Hand Pink X,Hand Pink Y,Hip Pink X,Hip Pink Y,Head Pink X,Head Pink Y,Elbow Pink X,Elbow Pink Y,Shoulder Green X,Shoulder Green Y,angles,Timestamp (microseconds),Seconds,Hand Pink X meters,Hip Pink X meters,Head Pink X meters,Elbow Pink X meters,Shoulder Green X meters,Hand Pink Y meters,Hip Pink Y meters,Head Pink Y meters,Elbow Pink Y meters,Shoulder Green Y meters
1.0,547.6557617,1594.575195,835.0300903,1371.038208,1020.510742,445.1281433,666.1074219,1232.023682,791.0643921,923.0529175,25.52932075,1658799330000000.0,0.0,0.37332556292924307,0.5692226765887126,0.6956609861089855,0.45407160052556117,0.5392521728928465,-1.0869888056294734,-0.9346082824186247,-0.3034346140306868,-0.8398449661098649,-0.6292260104586199
2.0,547.6557617,1594.575195,834.7281494,1371.078247,1020.510742,445.1281433,665.9152832,1232.041382,791.0726929,923.3508301,25.50197632,1658799330016666.8,0.01666675,0.37332556292924307,0.5690168497457448,0.6956609861089855,0.4539406235627418,0.5392578313758746,-1.0869888056294734,-0.9346355761736794,-0.3034346140306868,-0.8398570318323972,-0.629429091293109
3.0,547.635437,1594.475464,834.7281494,1371.078247,1020.355957,444.973877,665.8773804,1232.105347,791.0726929,923.3508301,25.50623852,1658799330033333.2,0.03333325,0.373311708003212,0.5690168497457448,0.69555547238796,0.4539147860108777,0.5392578313758746,-1.086920821077278,-0.9346355761736794,-0.30332945389668264,-0.8399006354449268,-0.629429091293109
4.0,547.666687,1594.493408,834.7281494,1371.078247,1020.355957,444.973877,665.6780396,1232.652466,790.9295044,923.416687,25.51335477,1658799330050000.0,0.05,0.3733330104794341,0.5690168497457448,0.69555547238796,0.45377889952601036,0.5391602227481455,-1.0869330531295445,-0.9346355761736794,-0.30332945389668264,-0.8402735951085488,-0.629473984574591
5.0,547.6210938,1594.659912,834.7281494,1371.078247,1020.338623,445.0474854,665.9152832,1232.041382,790.9295044,923.416687,25.51224092,1658799330066666.5,0.0666665,0.3733019305415496,0.5690168497457448,0.6955436561600292,0.4539406235627418,0.5391602227481455,-1.0870465554495732,-0.9346355761736794,-0.30337963121478667,-0.8398570318323972,-0.629473984574591
6.0,547.2608032,1594.63208,834.7474365,1369.845825,1020.338623,445.0474854,665.637146,1232.28418,790.7863159,923.2852173,25.56011887,1658799330083333.2,0.08333325,0.37305632791948357,0.5690299973613975,0.6955436561600292,0.45375102320787797,0.5390626141204162,-1.0870275829529903,-0.9337954596824585,-0.30337963121478667,-0.8400225421882944,-0.629384364409529
7.0,547.1993408,1594.646851,834.7474365,1369.845825,1020.338623,445.0474854,665.637146,1232.28418,790.6265869,923.2203369,25.57001114,1658799330100000.0,0.1,0.37301443027741765,0.5690299973613975,0.6955436561600292,0.45375102320787797,0.5389537301772327,-1.087037652037031,-0.9337954596824585,-0.30337963121478667,-0.8400225421882944,-0.629340136787824
8.0,547.3242188,1594.609497,834.7474365,1369.845825,1020.2276,444.9498291,665.6472168,1232.402832,790.534668,923.0919189,25.56123357,1658799330116666.5,0.1166665,0.3730995570174392,0.5690299973613975,0.6954679740858657,0.45375788826315916,0.538891070971421,-1.0870121885907333,-0.9337954596824585,-0.3033130609425085,-0.8401034247933731,-0.6292525969032962
9.0,547.1071167,1594.741821,834.0405884,1368.816284,1020.176025,444.9920044,665.7116699,1232.442017,790.3920898,923.1204224,25.50550697,1658799330133333.5,0.1333335,0.37295156302310223,0.5685481536864239,0.6954328164791086,0.4538018246033253,0.5387938783725315,-1.0871023911143693,-0.9330936429569471,-0.30334181096892165,-0.8401301363943576,-0.6292720271474881
10.0,547.133606,1594.720825,834.0405884,1368.816284,1019.484802,444.9728394,665.8191528,1232.773804,790.4468994,923.059021,25.49879513,1658799330150000.0,0.15,0.37296962022897073,0.5685481536864239,0.6949616241104141,0.4538750934648146,0.5388312409389553,-1.087088078577065,-0.9330936429569471,-0.30332874658630415,-0.8403563087040637,-0.6292301710878558
11.0,547.133606,1594.720825,834.0405884,1368.816284,1019.484802,444.9728394,665.8191528,1232.773804,790.534668,923.0919189,25.49554643,1658799330166666.8,0.16666675,0.37296962022897073,0.5685481536864239,0.6949616241104141,0.4538750934648146,0.538891070971421,-1.087088078577065,-0.9330936429569471,-0.30332874658630415,-0.8403563087040637,-0.6292525969032962
12.0,547.133606,1594.720825,834.0405884,1368.816284,1019.484802,444.9728394,665.8191528,1232.773804,790.534668,923.0919189,25.49554643,1658799330183333.5,0.1833335,0.37296962022897073,0.5685481536864239,0.6949616241104141,0.4538750934648146,0.538891070971421,-1.087088078577065,-0.9330936429569471,-0.30332874658630415,-0.8403563087040637,-0.6292525969032962
13.0,547.0489502,1594.845581,834.2854004,1368.515991,1019.365601,444.9826355,665.8191528,1232.773804,790.6265869,923.2203369,25.53377938,1658799330200000.0,0.2,0.3729119121276406,0.5687150369443086,0.694880367263433,0.4538750934648146,0.5389537301772327,-1.0871731221522192,-0.9328889394531973,-0.3033354243842984,-0.8403563087040637,-0.629340136787824
14.0,547.1126709,1595.108643,834.2854004,1368.515991,1019.111389,444.8056946,665.7989502,1232.904663,790.4468994,923.059021,25.52471389,1658799330216666.8,0.21666675,0.37295534920593204,0.5687150369443086,0.6947070762207008,0.4538613217718186,0.5388312409389553,-1.0873524460562176,-0.9328889394531973,-0.30321480744621915,-0.8404455125676144,-0.6292301710878558
15.0,547.1394043,1595.182739,834.2854004,1368.515991,1018.591797,444.7510986,665.7989502,1232.904663,790.3043213,923.0883789,25.52926251,1658799330233333.2,0.23333325,0.3729735728097029,0.5687150369443086,0.6943528811414937,0.4538613217718186,0.5387340484082337,-1.0874029557611187,-0.9328889394531973,-0.30317759048648074,-0.8404455125676144,-0.6292501837587896
