Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Neck Green X meters,Shoulder Pink X meters,Back Pink X meters,Arm Pink Y meters,Leg Pink Y meters,Neck Green Y meters,Shoulder Pink Y meters,Back Pink Y meters
1.0,452.6071472,953.7261963,509.0,1256.0,556.9976196,808.3829956,465.3963928,852.5134888,562.0,988.0,1660608234398330.0,0.0,0.0,0.6800946533876483,0.7648314453623656,0.8369534272339196,0.699311975975747,0.8444700830916493,-1.4330840573596861,-1.8872854526034013,-1.2146890666622925,-1.2810002432805834,-1.4845844165383444
2.0,452.6071472,953.7261963,509.0,1256.0,556.9976196,808.3829956,465.3963928,852.5134888,562.0,988.0,1660608234414996.5,0.0,0.0166665,0.6800946533876483,0.7648314453623656,0.8369534272339196,0.699311975975747,0.8444700830916493,-1.4330840573596861,-1.8872854526034013,-1.2146890666622925,-1.2810002432805834,-1.4845844165383444
3.0,452.7106934,954.1635132,508.9251709,1256.136108,556.9976196,808.3829956,464.944458,852.2531128,562.0,988.0,1660608234431663.2,0.0,0.03333325,0.6802502435444416,0.7647190059739409,0.8369534272339196,0.6986328916018893,0.8444700830916493,-1.4337411766459502,-1.8874899706355532,-1.2146890666622925,-1.280608998187425,-1.4845844165383444
4.0,452.7106934,954.1635132,508.9251709,1256.136108,556.8235474,808.2965698,465.0,852.5,562.0,988.0,1660608234448330.0,0.0546890243680408,0.05,0.6802502435444416,0.7647190059739409,0.8366918635947775,0.6987163498889981,0.8444700830916493,-1.4337411766459502,-1.8874899706355532,-1.214559201889148,-1.2809799747964965,-1.4845844165383444
5.0,452.7106934,954.1635132,508.9251709,1256.136108,556.921875,808.729187,465.6666565,852.6539917,562.0,988.0,1660608234464996.5,0.027268284338813,0.0666665,0.6802502435444416,0.7647190059739409,0.8368396122007244,0.6997180784832127,0.8444700830916493,-1.4337411766459502,-1.8874899706355532,-1.2152092593319075,-1.281211365158942,-1.4845844165383444
6.0,452.7106934,954.1635132,508.9251709,1256.136108,556.921875,808.729187,465.2270508,852.6763306,562.0,988.0,1660608234481663.2,0.027268284338813,0.08333325,0.6802502435444416,0.7647190059739409,0.8368396122007244,0.6990575200098913,0.8444700830916493,-1.4337411766459502,-1.8874899706355532,-1.2152092593319075,-1.2812449319431756,-1.4845844165383444
7.0,452.7106934,954.1635132,509.0,1256.0,557.2138672,808.6444702,465.2270508,852.6763306,562.0,988.0,1660608234498330.0,-0.0667051765721089,0.1,0.6802502435444416,0.7648314453623656,0.8372783642957352,0.6990575200098913,0.8444700830916493,-1.4337411766459502,-1.8872854526034013,-1.2150819625291756,-1.2812449319431756,-1.4845844165383444
8.0,452.7106934,954.1635132,509.0,1256.0,557.2138672,808.6444702,465.2270508,852.6763306,562.0,988.0,1660608234514996.5,-0.0667051765721089,0.1166665,0.6802502435444416,0.7648314453623656,0.8372783642957352,0.6990575200098913,0.8444700830916493,-1.4337411766459502,-1.8872854526034013,-1.2150819625291756,-1.2812449319431756,-1.4845844165383444
9.0,452.5,954.0,509.0,1256.0,557.5,808.5,465.3963928,852.5134888,562.0,988.0,1660608234531663.5,-0.1592063849625962,0.1333335,0.6799336523113368,0.7648314453623656,0.8377083119636912,0.699311975975747,0.8444700830916493,-1.4334954791271057,-1.8872854526034013,-1.214864879323129,-1.2810002432805834,-1.4845844165383444
10.0,452.5,954.0,509.0,1256.0,557.6337891,808.5493164,465.3963928,852.5134888,562.0,988.0,1660608234548330.0,-0.2015025870116092,0.15,0.6799336523113368,0.7648314453623656,0.8379093455800501,0.699311975975747,0.8444700830916493,-1.4334954791271057,-1.8872854526034013,-1.2149389829252744,-1.2810002432805834,-1.4845844165383444
