Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),Seconds,Index Pink X meters,Index Pink Y meters,Thumb Pink X meters,Hand Green X meters,Thumb Pink Y meters,Hand Green Y meters,angles,angular velocity
1,308.3434448,918.888916,236.0,973.5,568.0164185,1056.338745,166078685400000.0,0.0,0.2721422421311711,-0.8110063440198076,0.2082923124395099,0.5013281920041247,-0.8592057888129785,-0.9323188132012704,13.88373477797398,
2,307.8533325,918.8533325,236.0,973.5,568.0164185,1056.338745,166078685401666.66,0.0,0.2717096716891286,-0.8109749382168427,0.2082923124395099,0.5013281920041247,-0.8592057888129785,-0.9323188132012704,13.845213303728038,-0.0385214742459432
3,307.8533325,918.8533325,236.0,973.5,568.0164185,1056.338745,166078685403333.34,0.0,0.2717096716891286,-0.8109749382168427,0.2082923124395099,0.5013281920041247,-0.8592057888129785,-0.9323188132012704,13.845213303728038,0.0
4,307.8533325,918.8533325,236.0,973.5,567.8756714,1056.37561,166078685405000.0,0.0,0.2717096716891286,-0.8109749382168427,0.2082923124395099,0.5012039693815478,-0.8592057888129785,-0.9323513500491436,13.85267308271625,0.0074597789882115
5,308.7843018,918.3725586,236.0,973.5,568.0188599,1055.833374,166078685406666.66,0.0,0.272531340114159,-0.8105506097956922,0.2082923124395099,0.5013303467704451,-0.8592057888129785,-0.9318727755138556,14.00790834364414,0.1552352609278902
6,308.1843872,918.1843872,236.2873535,973.2873535,568.4411621,1055.039185,166078685408333.3,0.0,0.272001858761192,-0.810384530744671,0.2085459290708768,0.5017030683881836,-0.8590181081722278,-0.9311718286353642,13.910256326549804,-0.0976520170943349
7,308.3703613,918.3765259,236.1358032,973.3086548,568.4318237,1054.534058,166078685410000.0,0.0,0.272165998487221,-0.8105541113130276,0.2084121716029196,0.5016948263672917,-0.8590369085833929,-0.930726006301018,13.89885347403482,-0.0114028525149851
8,309.3577271,919.0,236.1358032,973.3086548,568.555542,1054.706055,166078685411666.66,0.0,0.2730374421554654,-0.8111043861521594,0.2084121716029196,0.5018040194638936,-0.8590369085833929,-0.9308778099148431,13.875920611547278,-0.0229328624875417
9,309.0913391,919.3470459,236.1358032,973.3086548,568.8449097,1054.689819,166078685413333.34,0.0,0.2728023295600157,-0.8114106869700987,0.2084121716029196,0.5020594138171917,-0.8590369085833929,-0.9308634801098228,13.776688192228653,-0.0992324193186249
10,309.0913391,919.3470459,236.1358032,973.3086548,568.7151489,1055.0,166078685415000.0,0.0,0.2728023295600157,-0.8114106869700987,0.2084121716029196,0.501944887643056,-0.8590369085833929,-0.9311372441681482,13.786654673308709,0.0099664810800561
11,309.1149292,918.7069092,236.1358032,973.3086548,568.9008789,1054.390381,166078685416666.7,0.0,0.2728231500535737,-0.8108457058111139,0.2084121716029196,0.5021088119277568,-0.8590369085833929,-0.930599197764686,13.883712266937565,0.0970575936288558
12,308.6737671,918.6099243,236.46875,973.375,569.3453369,1054.609619,166078685418333.34,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5025010881336985,-0.8590954644949491,-0.9307926960273752,13.838011714245786,-0.0457005526917786
13,308.6737671,918.6099243,236.46875,973.375,569.8057861,1054.649292,166078685420000.0,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.502907478085516,-0.8590954644949491,-0.9308277112007286,13.815204749488776,-0.0228069647570094
14,308.6737671,918.6099243,236.46875,973.375,570.5,1054.184082,166078685421666.66,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5035201874861882,-0.8590954644949491,-0.9304171193928048,13.775469592494948,-0.039735156993828
15,308.6737671,918.6099243,236.46875,973.375,570.333313,1054.391602,166078685423333.34,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5033730704493933,-0.8590954644949491,-0.9306002754126246,13.786008031585515,0.0105384390905669
16,308.6737671,918.6099243,236.46875,973.375,570.5113525,1053.409058,166078685425000.0,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5035302071407517,-0.8590954644949491,-0.9297330874387536,13.766651967413273,-0.0193560641722427
17,308.6737671,918.6099243,236.46875,973.375,570.2542725,1053.584229,166078685426666.66,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5033033097353196,-0.8590954644949491,-0.9298876924076618,13.781443298157829,0.0147913307445559
18,308.6737671,918.6099243,236.46875,973.375,570.3621216,1053.168701,166078685428333.34,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5033984967625803,-0.8590954644949491,-0.9295209496618848,13.77154997332184,-0.0098933248359891
19,308.6737671,918.6099243,236.46875,973.375,570.1400146,1052.949951,166078685430000.0,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5032024663361438,-0.8590954644949491,-0.9293278821053336,13.78034254234753,0.0087925690256902
20,308.6737671,918.6099243,236.46875,973.375,570.1400146,1052.949951,166078685431666.66,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5032024663361438,-0.8590954644949491,-0.9293278821053336,13.78034254234753,0.0
21,308.6737671,918.6099243,236.46875,973.375,569.6147461,1053.049194,166078685433333.3,0.0,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5027388672237854,-0.8590954644949491,-0.9294154734356868,13.80789925272173,0.0275567103742009
