Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),Seconds,Index Pink X meters,Index Pink Y meters,Thumb Pink X meters,Hand Green X meters,Thumb Pink Y meters,Hand Green Y meters,angles,angular velocity
1,308.3434448,918.888916,236.0,973.5,568.0164185,1056.338745,1660786854016666.8,0.0,0.2721422421311711,-0.8110063440198076,0.2082923124395099,0.5013281920041247,-0.8592057888129785,-0.9323188132012704,13.88373477797398,
2,307.8533325,918.8533325,236.0,973.5,568.0164185,1056.338745,1660786854033333.2,0.0166665,0.2717096716891286,-0.8109749382168427,0.2082923124395099,0.5013281920041247,-0.8592057888129785,-0.9323188132012704,13.845213303728038,-2.3113115678722713
3,307.8533325,918.8533325,236.0,973.5,568.0164185,1056.338745,1660786854050000.0,0.03333325,0.2717096716891286,-0.8109749382168427,0.2082923124395099,0.5013281920041247,-0.8592057888129785,-0.9323188132012704,13.845213303728038,0.0
4,307.8533325,918.8533325,236.0,973.5,567.8756714,1056.37561,1660786854066666.5,0.04999975,0.2717096716891286,-0.8109749382168427,0.2082923124395099,0.5012039693815478,-0.8592057888129785,-0.9323513500491436,13.85267308271625,0.4475912152048478
5,308.7843018,918.3725586,236.0,973.5,568.0188599,1055.833374,1660786854083333.2,0.0666665,0.272531340114159,-0.8105506097956922,0.2082923124395099,0.5013303467704451,-0.8592057888129785,-0.9318727755138556,14.00790834364414,9.314069085327985
6,308.1843872,918.1843872,236.2873535,973.2873535,568.4411621,1055.039185,1660786854100000.0,0.08333325,0.272001858761192,-0.810384530744671,0.2085459290708768,0.5017030683881836,-0.8590181081722278,-0.9311718286353642,13.910256326549804,-5.859091730201445
7,308.3703613,918.3765259,236.1358032,973.3086548,568.4318237,1054.534058,1660786854116666.5,0.09999975,0.272165998487221,-0.8105541113130276,0.2084121716029196,0.5016948263672917,-0.8590369085833929,-0.930726006301018,13.89885347403482,-0.6841779926790378
8,309.3577271,919.0,236.1358032,973.3086548,568.555542,1054.706055,1660786854133333.5,0.11666675,0.2730374421554654,-0.8111043861521594,0.2084121716029196,0.5018040194638936,-0.8590369085833929,-0.9308778099148431,13.875920611547278,-1.3759442303678995
9,309.0913391,919.3470459,236.1358032,973.3086548,568.8449097,1054.689819,1660786854150000.0,0.13333325,0.2728023295600157,-0.8114106869700987,0.2084121716029196,0.5020594138171917,-0.8590369085833929,-0.9308634801098228,13.776688192228653,-5.954004699164492
10,309.0913391,919.3470459,236.1358032,973.3086548,568.7151489,1055.0,1660786854166666.8,0.15,0.2728023295600157,-0.8114106869700987,0.2084121716029196,0.501944887643056,-0.8590369085833929,-0.9311372441681482,13.786654673308709,0.5979858748739947
11,309.1149292,918.7069092,236.1358032,973.3086548,568.9008789,1054.390381,1660786854183333.5,0.16666675,0.2728231500535737,-0.8108457058111139,0.2084121716029196,0.5021088119277568,-0.8590369085833929,-0.930599197764686,13.883712266937565,5.823426500598842
12,308.6737671,918.6099243,236.46875,973.375,569.3453369,1054.609619,1660786854200000.0,0.18333325,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5025010881336985,-0.8590954644949491,-0.9307926960273752,13.838011714245786,-2.7420605821125394
13,308.6737671,918.6099243,236.46875,973.375,569.8057861,1054.649292,1660786854216666.8,0.2,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.502907478085516,-0.8590954644949491,-0.9308277112007286,13.815204749488776,-1.3684110433653522
14,308.6737671,918.6099243,236.46875,973.375,570.5,1054.184082,1660786854233333.2,0.2166665,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5035201874861882,-0.8590954644949491,-0.9304171193928048,13.775469592494948,-2.3841332609622903
15,308.6737671,918.6099243,236.46875,973.375,570.333313,1054.391602,1660786854250000.0,0.23333325,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5033730704493933,-0.8590954644949491,-0.9306002754126246,13.786008031585515,0.6323031839180984
16,308.6737671,918.6099243,236.46875,973.375,570.5113525,1053.409058,1660786854266666.8,0.25,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5035302071407517,-0.8590954644949491,-0.9297330874387536,13.766651967413273,-1.1613580435443487
17,308.6737671,918.6099243,236.46875,973.375,570.2542725,1053.584229,1660786854283333.2,0.2666665,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5033033097353196,-0.8590954644949491,-0.9298876924076618,13.781443298157829,0.8874887195605549
18,308.6737671,918.6099243,236.46875,973.375,570.3621216,1053.168701,1660786854300000.0,0.28333325,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5033984967625803,-0.8590954644949491,-0.9295209496618848,13.77154997332184,-0.5935965221767378
19,308.6737671,918.6099243,236.46875,973.375,570.1400146,1052.949951,1660786854316666.5,0.29999975,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5032024663361438,-0.8590954644949491,-0.9293278821053336,13.78034254234753,0.5275594171355857
20,308.6737671,918.6099243,236.46875,973.375,570.1400146,1052.949951,1660786854333333.2,0.3166665,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5032024663361438,-0.8590954644949491,-0.9293278821053336,13.78034254234753,0.0
21,308.6737671,918.6099243,236.46875,973.375,569.6147461,1053.049194,1660786854350000.0,0.33333325,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5027388672237854,-0.8590954644949491,-0.9294154734356868,13.80789925272173,1.6533943554802777
22,308.6737671,918.6099243,236.46875,973.375,569.6147461,1053.049194,1660786854366666.5,0.34999975,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5027388672237854,-0.8590954644949491,-0.9294154734356868,13.80789925272173,0.0
23,308.6737671,918.6099243,236.46875,973.375,569.553833,1053.217896,1660786854383333.5,0.36666675,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5026851056540529,-0.8590954644949491,-0.9295643689004884,13.812798429058748,0.2939447013270455
24,308.6737671,918.6099243,236.46875,973.375,570.5636597,1053.381836,1660786854400000.0,0.38333325,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5035763731900958,-0.8590954644949491,-0.9297090614500704,13.763734004894642,-2.9438948887952465
25,308.6737671,918.6099243,236.46875,973.375,570.6063232,1053.177734,1660786854416666.8,0.4,0.2724337827909903,-0.8107601074675007,0.2087060286321201,0.5036140277624338,-0.8590954644949491,-0.929528922138403,13.759387185107109,-0.2608078832126129
