Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Shoulder Green X,Shoulder Green Y,Elbow Orange X,Elbow Orange Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Shoulder Green X meters,Elbow Orange X meters,Head Pink Y meters,Hand Pink Y meters,Shoulder Green Y meters,Elbow Orange Y meters
1.0,158.5743866,822.8609009,857.3030396,947.2807007,419.5,795.5,603.7240601,889.7486572,1658971692376670.0,0.0,0.0,0.18295389048193922,0.9891063101663105,0.4839946646035048,0.6965416543055201,0.9493689767495431,1.0929172944473649,0.9178015630323911,1.0265401738329745
2.0,158.5743866,822.8609009,857.3359985,946.7941284,419.5,795.5,603.7240601,889.7486572,1658971692393336.5,0.0581968782518524,0.0166665,0.18295389048193922,0.9891443362253121,0.4839946646035048,0.6965416543055201,0.9493689767495431,1.0923559156699063,0.9178015630323911,1.0265401738329745
3.0,158.5743866,822.8609009,857.3248291,947.1389771,419.4098511,795.4098511,603.5,889.8422852,1658971692410003.2,0.0174362708005501,0.03333325,0.18295389048193922,0.9891314496221969,0.4838906560537554,0.6962831468133853,0.9493689767495431,1.092753782012923,0.9176975544826417,1.0266481963656502
4.0,158.5743866,822.8609009,857.2734375,947.4715576,419.6398926,795.1654663,603.5,889.8422852,1658971692426669.8,0.0234926719231952,0.04999975,0.18295389048193922,0.989072156987619,0.48415606453680043,0.6962831468133853,0.9493689767495431,1.093137494021388,0.9174155975355376,1.0266481963656502
5.0,158.5743866,822.8609009,857.3170166,947.666687,419.5,794.8535767,603.5,889.8422852,1658971692443336.5,0.0444717523323538,0.0666665,0.18295389048193922,0.9891224360147661,0.4839946646035048,0.6962831468133853,0.9493689767495431,1.0933626229570432,0.917055757482271,1.0266481963656502
6.0,158.5743866,822.8609009,857.3170166,947.666687,419.5,794.8535767,603.5710449,889.9304199,1658971692460003.2,0.0444717523323538,0.08333325,0.18295389048193922,0.9891224360147661,0.4839946646035048,0.6963651142807209,0.9493689767495431,1.0933626229570432,0.917055757482271,1.0267498810487645
7.0,158.5743866,822.8609009,857.3170166,947.666687,419.4236145,794.7592773,603.5710449,889.9304199,1658971692476669.8,0.0444594703954965,0.09999975,0.18295389048193922,0.9891224360147661,0.4839065354629731,0.6963651142807209,0.9493689767495431,1.0933626229570432,0.9169469603273835,1.0267498810487645
8.0,158.5860596,822.8087158,857.1887207,947.5890503,419.5,794.8535767,603.5710449,889.9304199,1658971692493336.5,0.0406375869462563,0.1166665,0.1829673581094003,0.9889744156784359,0.4839946646035048,0.6963651142807209,0.9493087686208855,1.0932730502548325,0.917055757482271,1.0267498810487645
9.0,158.5860596,822.8087158,857.1887207,947.5890503,419.5,794.8535767,603.4519043,890.6987305,1658971692510003.2,0.0406375869462563,0.13333325,0.1829673581094003,0.9889744156784359,0.4839946646035048,0.6962276567962451,0.9493087686208855,1.0932730502548325,0.917055757482271,1.0276363130658284
10.0,158.5860596,822.8087158,857.1887207,947.5890503,419.5,794.8535767,603.4519043,890.6987305,1658971692526670.0,0.0406375869462563,0.15,0.1829673581094003,0.9889744156784359,0.4839946646035048,0.6962276567962451,0.9493087686208855,1.0932730502548325,0.917055757482271,1.0276363130658284
