Frame #,Head Pink X,Head Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Head Pink X meters,Hand Pink X meters,Elbow Orange X meters,Shoulder Green X meters,Head Pink Y meters,Hand Pink Y meters,Elbow Orange Y meters,Shoulder Green Y meters
1.0,162.8327179,824.8278198,846.2695923,941.6265869,595.1687012,882.6378784,416.8562622,785.8458252,1658971470815000.0,0.0,0.0,0.1893868582141215,0.9842760186946587,0.6922265493159053,0.4848355959606571,-0.9593376034873984,-1.0951834692914468,-1.026575106568026,-0.9139985734728788
2.0,162.8327179,824.8278198,846.1776733,940.9905396,595.1687012,882.6378784,417.0,786.2020874,1658971470831666.8,0.07117564588343146,0.01666675,0.1893868582141215,0.9841691098937454,0.6922265493159053,0.485002773974386,-0.9593376034873984,-1.094443697816917,-1.026575106568026,-0.9144129335574406
3.0,162.8327179,824.8278198,846.1776733,940.9905396,595.4074097,882.402771,417.0,786.3170776,1658971470848333.2,0.07119074081344803,0.03333325,0.1893868582141215,0.9841691098937454,0.692504185490177,0.485002773974386,-0.9593376034873984,-1.094443697816917,-1.026301658747446,-0.9145466759219006
4.0,162.8327179,824.8278198,846.2828979,941.0871582,595.5142822,882.4143066,417.0120544,786.3795166,1658971470865000.0,0.06426465295835075,0.05,0.1893868582141215,0.9842914941213,0.692628486350996,0.4850167941600901,-0.9593376034873984,-1.094556072610724,-1.0263150755292192,-0.914619297236539
5.0,162.8327179,824.8278198,846.2828979,941.0871582,595.5142822,882.4143066,417.0120544,786.3795166,1658971470881666.8,0.06426465295835075,0.06666675,0.1893868582141215,0.9842914941213,0.692628486350996,0.4850167941600901,-0.9593376034873984,-1.094556072610724,-1.0263150755292192,-0.914619297236539
6.0,162.8327179,824.8278198,846.2828979,941.0871582,595.5142822,882.4143066,417.0,786.2020874,1658971470898333.2,0.06424692560389499,0.08333325,0.1893868582141215,0.9842914941213,0.692628486350996,0.485002773974386,-0.9593376034873984,-1.094556072610724,-1.0263150755292192,-0.9144129335574406
7.0,162.7443237,824.7825317,846.651123,941.0593262,595.5142822,882.4143066,416.7956848,786.1204224,1658971470915000.0,0.08316965082600997,0.1,0.1892840490241856,0.984719767970094,0.692628486350996,0.4847651398286663,-0.9592849299763,-1.0945237018740208,-1.0263150755292192,-0.9143179509398468
8.0,162.7624207,824.8739624,847.0823364,940.899353,595.5142822,882.4143066,417.0120544,786.3795166,1658971470931666.5,0.1203999223245108,0.1166665,0.1893050972141152,0.9852213020112808,0.692628486350996,0.4850167941600901,-0.9593912708471064,-1.09433764085301,-1.0263150755292192,-0.914619297236539
9.0,163.0845642,824.9742432,846.1139526,940.696106,595.5142822,882.4143066,416.8191833,786.0631714,1658971470948333.5,0.10319680883370912,0.1333335,0.1896797746508485,0.9840949978643456,0.692628486350996,0.4847924703746717,-0.9595079050585608,-1.0941012491052833,-1.0263150755292192,-0.9142513636645164
10.0,163.2687836,825.0140991,845.6730347,940.772644,595.5142822,882.4143066,416.8191833,786.0631714,1658971470965000.2,0.07536862458436382,0.15000025,0.189894035849937,0.9835821767502092,0.692628486350996,0.4847924703746717,-0.959554260507144,-1.0941902686312173,-1.0263150755292192,-0.9142513636645164
11.0,163.1887665,825.0991821,846.0036011,940.7781982,595.4074097,882.402771,416.8191833,786.0631714,1658971470981666.8,0.08880046040993089,0.16666675,0.1898009698656076,0.9839666506614388,0.692504185490177,0.4847924703746717,-0.9596532185191776,-1.0941967285890282,-1.026301658747446,-0.9142513636645164
12.0,163.2138519,825.0597534,846.5,940.281311,595.6190186,882.1731567,416.8779907,786.2766724,1658971470998333.5,0.1686541923292865,0.1833335,0.1898301460972293,0.984544000406038,0.6927503027647517,0.4848608678617945,-0.9596073599367456,-1.0936188109143223,-1.0260345998207212,-0.9144996815955626
13.0,163.1660767,825.045105,846.6861572,940.2084961,595.5,882.0,416.8134155,786.2536621,1658971471015000.0,0.18511216570954406,0.2,0.1897745798993224,0.9847605154141802,0.6926118750641412,0.4847857619837851,-0.9595903227313876,-1.093534121637376,-1.0258332053846726,-0.9144729188633564
14.0,163.1013489,825.1807251,847.0908813,939.8497314,595.5,882.0,416.9329224,786.3475342,1658971471031666.8,0.24465842275257865,0.21666675,0.1896992965358853,0.9852312403810728,0.6926118750641412,0.4849247576145022,-0.9597480592414755,-1.0931168509546323,-1.0258332053846726,-0.9145820992683896
15.0,163.1500549,825.1967773,847.3092651,939.6565552,595.5,882.0,416.9329224,786.3475342,1658971471048333.5,0.27668017311866683,0.2333335,0.189755945325116,0.9854852373805718,0.6926118750641412,0.4849247576145022,-0.9597667291731984,-1.0928921723146665,-1.0258332053846726,-0.9145820992683896
