Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Shoulder Orange X meters,Back Orange X meters,Neck Green X meters,Arm Pink Y meters,Leg Pink Y meters,Shoulder Orange Y meters,Back Orange Y meters,Neck Green Y meters,angular velocity
1.0,368.8809509,1234.476196,464.5,1693.298828,418.0,1070.376831,517.666687,1243.5,540.5,1016.0,1660879909000000.0,0.0,0.0,0.4436710173873843,0.558676687081919,0.5027488809477764,0.6226228411320403,0.6500855745269692,-1.4847644164968132,-2.036612657624836,-1.287394148271955,-1.495617783393684,-1.2219924953180403,
2.0,368.8809509,1234.476196,464.5,1693.298828,418.5,1069.5,518.333313,1243.333374,540.5,1016.0,1660879909016666.8,0.0,0.01666675,0.4436710173873843,0.558676687081919,0.5033502552072833,0.6234246245662763,0.6500855745269692,-1.4847644164968132,-2.036612657624836,-1.2863395410852796,-1.495417374218955,-1.2219924953180403,0.0
3.0,369.5,1234.0,465.3418884,1692.777832,418.5,1069.0,518.333313,1243.333374,540.5,1016.0,1660879909033333.2,0.0,0.03333325,0.4444155777756061,0.5596892671081939,0.5033502552072833,0.6234246245662763,0.6500855745269692,-1.4841916724630528,-2.0359860304574235,-1.2857381668257726,-1.495417374218955,-1.2219924953180403,0.0
4.0,369.3603516,1234.360352,464.8692932,1692.601318,418.7407532,1069.592651,517.6811523,1243.413086,540.5,1016.0,1660879909050000.0,0.0,0.05,0.4442476158693235,0.5591208539313008,0.5036398207620311,0.6226402392501924,0.6500855745269692,-1.4846250852973764,-2.035773728505338,-1.2864509769383146,-1.4955132477089026,-1.2219924953180403,0.0
5.0,369.5,1234.5,465.0,1692.5,418.5,1069.5,517.6811523,1243.413086,540.5,1016.0,1660879909066666.5,0.0,0.0666665,0.4444155777756061,0.5592780613414259,0.5033502552072833,0.6226402392501924,0.6500855745269692,-1.4847930467225596,-2.035651868430889,-1.2863395410852796,-1.4955132477089026,-1.2219924953180403,0.0
6.0,369.5,1234.5,465.0,1692.5,418.6349182,1069.769897,517.666687,1243.5,540.5,1016.0,1660879909083333.2,0.0,0.08333325,0.4444155777756061,0.5592780613414259,0.5035125278725213,0.6226228411320403,0.6500855745269692,-1.4847930467225596,-2.035651868430889,-1.2866641593023158,-1.495617783393684,-1.2219924953180403,0.0
7.0,369.5,1234.5,464.5,1692.5,418.6231995,1070.0,517.6740723,1243.674072,542.6969604,1016.30304,1660879909100000.0,-0.5551307502915774,0.1,0.4444155777756061,0.558676687081919,0.5034984332234516,0.6226317237906778,0.6527279653944013,-1.4847930467225596,-2.035651868430889,-1.2869409153447864,-1.495827148233886,-1.222356976229242,-0.5551307502915774
8.0,369.5,1234.5,464.5,1692.5,418.5,1070.0,517.7056274,1244.090942,543.0,1016.0,1660879909116666.5,-0.6210849739496095,0.1166665,0.4444155777756061,0.558676687081919,0.5033502552072833,0.6226696766404701,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2869409153447864,-1.4963285380090072,-1.2219924953180403,-0.06595422365803205
9.0,369.5,1234.5,464.5,1692.5,418.2893066,1070.163574,517.7056274,1244.090942,543.0,1016.0,1660879909133333.5,-0.6210849739496095,0.1333335,0.4444155777756061,0.558676687081919,0.5030968440324672,0.6226696766404701,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2871376537310355,-1.4963285380090072,-1.2219924953180403,0.0
10.0,369.5,1234.5,464.5,1692.5,418.2893066,1070.163574,517.7056274,1244.090942,543.0,1016.0,1660879909150000.0,-0.6210849739496095,0.15,0.4444155777756061,0.558676687081919,0.5030968440324672,0.6226696766404701,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2871376537310355,-1.4963285380090072,-1.2219924953180403,0.0
11.0,369.5,1234.5,464.5,1692.5,418.2893066,1070.163574,517.7056274,1244.090942,543.0,1016.0,1660879909166666.8,-0.6210849739496095,0.16666675,0.4444155777756061,0.558676687081919,0.5030968440324672,0.6226696766404701,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2871376537310355,-1.4963285380090072,-1.2219924953180403,0.0
12.0,369.5,1234.5,464.5,1692.5,418.5,1070.0,517.8156738,1243.815674,543.0,1016.0,1660879909183333.5,-0.6218814531433415,0.1833335,0.4444155777756061,0.558676687081919,0.5033502552072833,0.6228020347850929,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2869409153447864,-1.4959974598296752,-1.2219924953180403,-0.000796479193732047
13.0,369.5,1234.5,464.5,1692.5,418.5,1070.0,517.8156738,1243.815674,543.0,1016.0,1660879909200000.0,-0.6218814531433415,0.2,0.4444155777756061,0.558676687081919,0.5033502552072833,0.6228020347850929,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2869409153447864,-1.4959974598296752,-1.2219924953180403,0.0
14.0,369.5,1234.5,464.5,1692.5,418.2893066,1070.163574,517.666687,1243.5,543.0,1016.0,1660879909216666.8,-0.6226403490850732,0.21666675,0.4444155777756061,0.558676687081919,0.5030968440324672,0.6226228411320403,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2871376537310355,-1.495617783393684,-1.2219924953180403,-0.0007588959417316188
15.0,369.5,1234.5,464.5,1692.5,417.8863525,1070.348511,517.5,1243.5,543.0,1016.0,1660879909233333.2,-0.6225445205528296,0.23333325,0.4444155777756061,0.558676687081919,0.5026121915854618,0.6224223585896514,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2873600864338963,-1.495617783393684,-1.2219924953180403,9.582853224354704e-05
16.0,369.5,1234.5,464.5,1692.5,417.8863525,1070.348511,517.5,1243.5,543.0,1016.0,1660879909250000.0,-0.6225445205528296,0.25,0.4444155777756061,0.558676687081919,0.5026121915854618,0.6224223585896514,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2873600864338963,-1.495617783393684,-1.2219924953180403,0.0
17.0,369.5,1234.5,464.5,1692.5,417.6396484,1070.360352,517.5,1243.5,543.0,1016.0,1660879909266666.8,-0.6225445205528296,0.26666675,0.4444155777756061,0.558676687081919,0.5023154685945521,0.6224223585896514,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.28737432817911,-1.495617783393684,-1.2219924953180403,0.0
18.0,369.5,1234.5,464.5,1692.5,417.8863525,1070.348511,517.5,1243.5,543.0,1016.0,1660879909283333.2,-0.6225445205528296,0.28333325,0.4444155777756061,0.558676687081919,0.5026121915854618,0.6224223585896514,0.6530924458245038,-1.4847930467225596,-2.035651868430889,-1.2873600864338963,-1.495617783393684,-1.2219924953180403,0.0
