Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),Seconds,vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),stamp velocity (m/s),ax_linear,ay_linear,az_linear
1660782312137909,-0.9668726634622722,-0.2182040131227589,0.1609521629663541,0.0,0.0,0.0,0.0,-0.001612748475674,0.0013969811109527,-0.5451681939129589,0.0,0.0,0.0,0.0
1660782312153912,-0.9654077973601892,-0.220157167925536,0.1609521629663541,0.016003,-0.000134238642192,-0.0001827704776277,-0.0001855058152933,-0.0015500321991273,0.0015034553154642,-0.5450139507492118,3.5156786449989855e-05,0.0013183794918747438,-0.0017578393224993993,0.0
1660782312169915,-0.9632104982070652,-0.2204013122758832,0.1569237811856263,0.032006,-0.000363367620146,-0.0004563317840883,-0.0003896865138451,-0.0014866689042502,0.0016268116328134,-0.544862806575809,0.00010840895956995702,0.00316411078049883,-0.001801785305561937,-0.003625543602655018
1660782312185918,-0.9611352712291144,-0.2200350957503625,0.1563134203097584,0.048009,-0.0006706500021697,-0.0008179702233166,-0.0006263120792474,-0.0014236857332145,0.0017647116348175,-0.5447161654579138,0.00020456321431628336,0.004715403982604727,-0.0012920119020371212,-0.003812314030670616
1660782312201921,-0.9688258182650492,-0.2169832913710232,0.1621728847180898,0.064012,-0.0010301626592426,-0.0012591849373188,-0.0009158831232331,-0.001361895409494,0.0019158736110092,-0.5445750888799654,0.0001470793262290281,-0.0026776287479971517,0.001583813229571962,0.001842435339894699
1660782312217924,-0.9776150148775464,-0.2207675288014039,0.1660791943236441,0.080015,-0.0014061431023896,-0.0017646079819788,-0.001282850438011,-0.0013017659300383,0.0020601892125853,-0.5444401438742831,0.00010388970170621406,-0.010320142824444933,-0.0019803817807278745,0.005173870450904117
1660782312233927,-0.9735866330968186,-0.2222323949034867,0.1614404516670484,0.096018,-0.0017566310780295,-0.0023166190734004,-0.0017541879441571,-0.0012433315381164,0.0021873019032535,-0.5443112772585095,0.00020190858999813912,-0.005662584939345461,-0.003100723094529606,0.0004816150148775622
1660782312249930,-0.9702906843671322,-0.2221103227283132,0.1565575646601056,0.112021,-0.0020418583064022,-0.0029039006825037,-0.0023522402657288,-0.0011862292101731,0.0022912998689074,-0.5441877816123528,0.0002635183846700054,-0.0021299725886930743,-0.0026807858274204843,-0.003961144792858723
1660782312265934,-0.9638208590829328,-0.2222323949034867,0.1546044098573284,0.128025,-0.0022348672587446,-0.0035235810952318,-0.0030840159479595,-0.0011298806562044,0.0023912879884957,-0.5440684156817461,0.0002896968045391902,0.003905867425955667,-0.002522572202334622,-0.0053228696360723415
1660782312281937,-0.9626001373311972,-0.2196688792248418,0.153871976806287,0.144028,-0.0023300502738823,-0.0041748953666024,-0.0039373978973089,-0.0010737032105965,0.0025080086563764,-0.5439516785958626,0.00032295686101343465,0.004613930259922072,3.6849128679239396e-05,-0.005449772418402388
1660782312297940,-0.966628519111925,-0.2177157244220646,0.1570458533607999,0.160031,-0.0023458839537686,-0.004852230783127,-0.0048840350213693,-0.0010172322111117,0.0026151741102711,-0.5438361691784022,0.00032929264446277516,0.0005269936312748413,0.001791003538310798,-0.00204830627750055
1660782312313943,-0.968337529564355,-0.2173495078965439,0.1583886472877091,0.176034,-0.0023206122716898,-0.0055434362618796,-0.0058823703917996,-0.0009601598149963,0.0026994651366721,-0.5437209411166298,0.00032397497480999963,-0.0010638151390396366,0.0019414980574483376,-0.0006349611155322121
1660782312329946,-0.9632104982070652,-0.2178377965972382,0.1548485542076756,0.192037,-0.0023023933407935,-0.0062334627543347,-0.0068804610045987,-0.0009023639502801,0.0027715057433605,-0.5436057384218284,0.00036403163490201644,0.003656894596425153,0.0013078884210786235,-0.0037575487760091453
1660782312345949,-0.9652857251850158,-0.2243076218814375,0.1541161211566342,0.20804,-0.0023372213661952,-0.0069091160655842,-0.0078210777922071,-0.0008439637606113,0.0028323612547455,-0.5434910573253225,0.0004545574807224149,0.0014235008566271246,-0.004645743176808603,-0.004040983644345492
1660782312361952,-0.9687037460898758,-0.2240634775310903,0.1570458533607999,0.224043,-0.0024583801241247,-0.0075603857109028,-0.0086524679825652,-0.0007853537634859,0.0028858398479428,-0.5433780272615311,0.0004998625425143218,-0.0017950680434096755,-0.0039614389438152875,-0.0010001262961618074
1660782312377956,-0.9730983443961244,-0.2204013122758832,0.1574120698863206,0.240047,-0.0026804368030958,-0.0081777943020003,-0.0093440903032692,-0.0007271228899175,0.0029354520397777,-0.5432681595637406,0.0005184874719794821,-0.005570699714692595,-0.0002693463197473711,-0.0005705187935770017
1660782312393959,-0.9755397878995956,-0.2189364461738003,0.1603418020904863,0.25605,-0.0029990742378451,-0.0087488240922202,-0.0098940868215682,-0.0006698375932984,0.002976337033829,-0.543163048234751,0.0005164699578003335,-0.007210928896347446,0.0010759678041019904,0.002123292069529825
1660782312409962,-0.9687037460898758,-0.2199130235751889,0.1609521629663541,0.272053,-0.0033957539510922,-0.0092586978371253,-0.01031881684015,-0.0006138175848663,0.0030123644013734,-0.5430641033066849,0.0004887219320526481,-0.0003373983779648704,8.9451362442039e-05,0.002460287650857873
1660782312425965,-0.9639429312581064,-0.2196688792248418,0.1576562142366677,0.288056,-0.003844397077849,-0.0096978645866373,-0.0106370157258651,-0.0005590740471048,0.0030434712589141,-0.5429723783819342,0.0004708623662252705,0.003981074808424023,0.0003002361415102295,-0.0007520949709456659
1660782312441968,-0.9652857251850158,-0.2163729304951553,0.1626611734187841,0.304059,-0.0043170809015581,-0.0100701332266171,-0.0108663599247018,-0.0005054331349004,0.0030712097873131,-0.5428884947382656,0.00038326435956024017,0.0023744527933631243,0.003236566384077072,0.00382757779005366
1660782312457946,-0.9678492408636608,-0.2127107652399482,0.1652246890974291,0.320037,-0.0047871596629398,-0.0103942633750167,-0.0110308597556124,-0.0004527109982576,0.0031047895353659,-0.5428126345313554,0.0002636108294895061,-0.0001701565967536789,0.006208858475355766,0.005751984121828785
1660782312473950,-0.97261005569543,-0.2141756313420311,0.1654688334477763,0.336041,-0.0052302244720934,-0.0106981475757679,-0.0111641914863242,-0.0004008166176147,0.003142398138838,-0.5427445740286788,0.00022864086242914202,-0.004437874285670662,0.004269593135945549,0.005396515624958381
1660782312489953,-0.9746852826733808,-0.2178377965972382,0.1622949568932634,0.352044,-0.0056246295793312,-0.0110081600709211,-0.0113027020309285,-0.0003497551995659,0.0031838233505746,-0.5426837204615549,0.0002975861007346502,-0.005861791137259265,0.0005466850926645894,0.0020003751634009304
1660782312505956,-0.9685816739147022,-0.2229648279545282,0.1591210803387506,0.368047,-0.005953139685635,-0.0113394868210934,-0.0114735979421803,-0.0002995660180594,0.0032293593539595,-0.5426291693974521,0.00031285374434254375,0.0002176358592774763,-0.004122311638162873,-0.0010561512520006755
1660782312521959,-0.9662623025864044,-0.2241855497062639,0.155580987258717,0.38405,-0.0062058910577293,-0.0116938653392713,-0.0116841933770367,-0.0002502678577644,0.0032746432370521,-0.5425798015153196,0.000343745529454554,0.002283306468817581,-0.004808730050908705,-0.004136619898830851
1660782312537962,-0.9658960860608836,-0.2158846417944611,0.1583886472877091,0.400053,-0.0063834423579669,-0.0120637833173529,-0.0119199788826151,-0.0002018686201599,0.0033183261027375,-0.5425344217391507,0.00030650926682223857,0.0023845706949046086,0.0031429600748046627,-0.0011960638828548698
1660782312553965,-0.96748302433814,-0.2145418478675518,0.1585107194628827,0.416056,-0.0064982298194069,-0.0124387380707332,-0.0121589569387863,-0.0001543977675484,0.0033598716477274,-0.5424919382579434,0.0002908662930821047,0.0007178691758833455,0.004037178601542568,-0.0009665925369131412
1660782312569968,-0.969802395666438,-0.2153963530937668,0.1655909056229498,0.432059,-0.0065733753976931,-0.012811751803126,-0.0123913320632074,-0.0001078911716217,0.0034015883236177,-0.5424515413511989,0.00024791906190066844,-0.0014413519371730965,0.002864406037794781,0.005502234260838568
1660782312585971,-0.9672388799877928,-0.2150301365682461,0.1644922560463877,0.448062,-0.0066388435504604,-0.0131827374697514,-0.0126245686431986,-6.234542881441941e-05,0.0034417543235988,-0.5424128477776121,0.00021084044387609905,0.0010099473673249593,0.0029075603069839417,0.003963226215848797
1660782312601975,-0.9658960860608836,-0.2175936522468911,0.1622949568932634,0.464066,-0.0067256969310221,-0.0135567331775924,-0.0128742140236567,-1.769973530442773e-05,0.0034781294405921,-0.5423759623052872,0.00017356896392587274,0.00211746716481076,0.000309640165505054,0.0015893343564520601
1660782312617978,-0.964675364309148,-0.2146639200427254,0.1591210803387506,0.480069,-0.0068595970065351,-0.0139414263306294,-0.0131555850435274,2.614166753490792e-05,0.0035171559448443,-0.5423414356988975,0.00015811053174527917,0.0030043700248917338,0.0029154351327036754,-0.0014260879782546365
1660782312633981,-0.96748302433814,-0.2172274357213703,0.1600976577401391,0.496072,-0.0070549765163708,-0.0143450720355405,-0.0134822675666394,6.927937061196126e-05,0.0035514169686733,-0.5423101493127142,0.00016150173479149456,0.00017703899630971964,0.00031672750865288646,-0.00040455951917955923
1660782312649984,-0.9722438391699092,-0.2211337453269246,0.1621728847180898,0.512075,-0.0073114527486176,-0.0147710024994972,-0.0138666426830279,0.0001118372410874,0.0035845902515433,-0.5422830871322087,0.0001889924038216597,-0.004125398251913492,-0.0032306238872112647,0.0015036007128940432
1660782312665987,-0.9728542000457772,-0.2190585183489739,0.1620508125429163,0.528078,-0.0076137128567502,-0.0152134277439949,-0.014316262322655,0.0001540356113782,0.0036149366948938,-0.5422611112871454,0.0002498919513308261,-0.004262183215003268,-0.00103985721833455,0.0012433756839485
1660782312681990,-0.9685816739147022,-0.2171053635461968,0.1563134203097584,0.544081,-0.0079350848877351,-0.0156616514433125,-0.0148251577674687,0.0001962150998889,0.0036414035051287,-0.5422447470761957,0.00026482539777359667,9.308624464576809e-06,0.0008219678259983043,-0.0040446148942884785
1660782312697993,-0.9677271686884872,-0.2163729304951553,0.1559472037842377,0.560084,-0.0082436843733628,-0.0161065641179685,-0.0153679998892751,0.0002387281227352,0.0036635312210696,-0.5422340506595763,0.00028516405221396885,0.0007774324656115716,0.0013989607893358513,-0.003969748277828256
1660782312713997,-0.968093385214008,-0.2158846417944611,0.1580224307621884,0.576088,-0.00850916453222,-0.0165421377561983,-0.0159074596858345,0.0002817811473853,0.0036810103547318,-0.5422285802974074,0.00030260379890991644,0.0003700943460817063,0.0016985245410270355,-0.001705069169889828
1660782312730000,-0.96748302433814,-0.2161287861448082,0.1638818951705198,0.592091,-0.008708248959324,-0.01696575730148,-0.0164130181376849,0.0003253689618144,0.0036935443613494,-0.5422274654113463,0.00026825770341446485,0.000882409699754616,0.0013089421716119543,0.003738955714597425
1660782312746003,-0.9694361791409172,-0.2175936522468911,0.1613183794918748,0.608094,-0.0088281332420458,-0.0173785377660829,-0.0168737188744901,0.0003693306788463,0.0037013627287021,-0.5422295460798932,0.00027327633675262804,-0.0009636705927202893,-0.0001403315374238212,0.0010578960323571751
1660782312762006,-0.9669947356374458,-0.2177157244220646,0.1599755855649656,0.624097,-0.008867664732953,-0.0177823985325661,-0.0172925349361947,0.0004134522741699,0.0037055309502393,-0.5422335491516068,0.0002556547732469246,0.00132999561967595,-0.00023616334133760852,-0.00025640810509683365
1660782312778076,-0.9644312199588008,-0.2153963530937668,0.1618066681925691,0.640167,-0.008836574799076,-0.0181782809486937,-0.0176738432388008,0.0004575291006796,0.0037072775061743,-0.5422382689321535,0.00021914818953904693,0.003504160168488757,0.001874887188264146,0.0014172070702559991
1660782312794079,-0.9651636530098422,-0.2168612191958496,0.1596093690394449,0.65617,-0.0087532222610444,-0.0185684367532397,-0.0180212298800039,0.000501366015505,0.0037072373585091,-0.5422427240800614,0.00020241235451488773,0.002494554405702565,0.00036901897756322355,-0.0007020828745813723
1660782312810082,-0.968093385214008,-0.2172274357213703,0.1610742351415277,0.672173,-0.0086414791680339,-0.0189576206813004,-0.0183436334220375,0.0005447691850769,0.0037056637355106,-0.5422462703853945,0.00020132782009453488,-0.0003916600186170127,2.522206838273533e-06,0.0006865049047512783
1660782312826085,-0.9685816739147022,-0.2128328374151218,0.162417029068437,0.688176,-0.0085274193099598,-0.0193520430283164,-0.0186581460067849,0.0005875726632428,0.0037030850044284,-0.5422486613932097,0.00024818244178284615,-0.0007919538473800669,0.003957408461778084,0.0018263689484945278
1660782312842088,-0.9685816739147022,-0.2174715800717175,0.1608300907911806,0.704179,-0.0084362360245099,-0.019757452067022,-0.0189859475499827,0.00062968045662,0.0037002417674524,-0.5422500587867377,0.0002459490924323115,-0.0007127584626420713,-0.0006132007753358315,0.00021548760411432832
1660782312858091,-0.966628519111925,-0.2191805905241475,0.1614404516670484,0.720182,-0.0083893931759048,-0.0201756169647377,-0.0193445494159567,0.0006710989618413,0.0036970334632162,-0.5422509970043896,0.0002069523221292747,0.0011163567061215351,-0.0020899901049892533,0.0007432636319839037
1660782312874095,-0.9630884260318916,-0.2166170748455025,0.1570458533607999,0.736186,-0.0084017295611308,-0.0206042754711386,-0.0197427451475882,0.0007119429211852,0.0036916758733661,-0.542252302101801,0.00019834438149501758,0.004190804807539528,0.0004261730162901656,-0.0032862012068381463
1660782312890098,-0.9621118486305028,-0.2161287861448082,0.158999008163577,0.752189,-0.0084785151179514,-0.0210413857669377,-0.0201841567548173,0.0007524062827652,0.0036814315974069,-0.542254961692716,0.00021103750466961078,0.004650643988035497,0.0008230155452859933,-0.001199741763654949
1660782312906101,-0.971511406118868,-0.2139314869916839,0.1638818951705198,0.768192,-0.0086132828676874,-0.021483700576051,-0.0206741860323706,0.0007927554823241,0.0036643229091495,-0.5422599520003972,0.0002364843442187394,-0.004274022150296708,0.0027182832285692626,0.00331483071895905
1660782312922104,-0.9741969939726864,-0.2162508583199818,0.1643701838712141,0.784195,-0.0087879053184713,-0.0219224836654228,-0.0212193921789476,0.0008333876071118,0.0036399999099136,-0.5422680490633207,0.00027572641079777786,-0.006263649003703686,0.00035902071024424,0.003422807477688028
1660782312938107,-0.970046540016785,-0.2177157244220646,0.158999008163577,0.800198,-0.008976034067421,-0.022348658901331,-0.0218210118642177,0.000874854168342,0.0036091206549861,-0.5422796705756191,0.00028286949455677356,-0.0019018755430221246,-0.0009952608526546947,-0.0017535314069541674
1660782312954110,-0.9669947356374458,-0.2197909514000153,0.1576562142366677,0.816201,-0.0091496184529893,-0.0227601024806793,-0.0224729657513466,0.0009177647992293,0.003572151926917,-0.5422947986302356,0.0002486727603748254,0.0010349359526854451,-0.0027634390475448634,-0.0027866928004771363
1660782312970113,-0.9682154573891816,-0.2206454566262303,0.1604638742656599,0.832204,-0.0092865764947738,-0.0231585919606171,-0.0231645901890968,0.0009626645280723,0.0035287496627418,-0.5423130151178569,0.00021852734189569756,-0.00016720721914542658,-0.0032561498463838656,1.8870505663570736e-05
1660782312986117,-0.9661402304112308,-0.2178377965972382,0.1585107194628827,0.848208,-0.0093768904144521,-0.0235437969861902,-0.0238803506204824,0.001009983598,0.0034780152649522,-0.5423336457551897,0.0002063427227204762,0.0017172177829248847,-0.00040364083565258557,-0.0017408558674022467
1660782313002120,-0.9668726634622722,-0.2121004043640804,0.1576562142366677,0.864211,-0.009424927775768,-0.0239142480434045,-0.0245959146839847,0.0010600053421528,0.0034191981144659,-0.5423559706118264,0.0002657489214879677,0.0008863062586950132,0.0048003762577547016,-0.0023358249842555245
1660782313018123,-0.9658960860608836,-0.2114900434882125,0.1586327916380563,0.880214,-0.0094472816481955,-0.0242721409097773,-0.0252773428933031,0.0011127750977495,0.0033524418729964,-0.5423794357129716,0.00032496856140595305,0.001676595294075267,0.004869663420260351,-0.0012233228245802363
1660782313034126,-0.9651636530098422,-0.2151522087434196,0.1591210803387506,0.896217,-0.0094671590205577,-0.0246264247252356,-0.0258873713085166,0.0011679763043021,0.0032789967546619,-0.5424038032735581,0.0003358654075367161,0.002168125510604968,0.001086748348547939,-0.0006615307114973268
1660782313050129,-0.9690699626153964,-0.2180819409475853,0.1620508125429163,0.91222,-0.0095076414370967,-0.0249912606837911,-0.0263971005430111,0.0012248677320843,0.0032004651009651,-0.5424292048159943,0.00030412465054118425,-0.001564365685454261,-0.001658685470056015,0.002041381343401538
1660782313066132,-0.9712672617685209,-0.2219882505531396,0.1647364003967348,0.928223,-0.009586437763258,-0.0253782692267223,-0.0267972426335905,0.0012823768007202,0.0031178974822098,-0.5424560986272275,0.00023827642437123023,-0.003385498354720906,-0.005008495568049276,0.004254272277498028
1660782313082135,-0.9705348287174792,-0.2188143739986268,0.1638818951705198,0.944226,-0.0097138057829085,-0.025786888030128,-0.0270994671536941,0.0013393637509369,0.0030318517458546,-0.5424851667478581,0.000237677826101623,-0.0023877587733113215,-0.0016511571121828328,0.0030597903461547227
