Timestamp (microseconds),Accel X (g),Accel Y (g),Accel Z (g),vel x (m/s),vel y (m/s),vel z (m/s),disp x (m),disp y (m),disp z (m),vel x (m/s).1,vel y (m/s).1,vel z (m/s).1,disp x (m).1,disp y (m).1,disp z (m).1,stamp velocity (m/s)
1660608141017059,-0.8909437705043106,-0.1194476234073396,0.3994811932555127,0.0,0.0,0.0,0.004025165653864,-0.0023449297162371,-0.5666997880915684,0.0,0.0,0.0,0.004025165677646,-0.0023449262371847,-0.5666997902228613,
1660608141033061,-0.8898451209277485,-0.1179827573052568,0.3992370489051655,-0.0002253968250526,0.0001398821923692,0.0001352338086174,0.0038067736141343,-0.0021335788080643,-0.5664047066210194,-0.0002253947441084,0.0001398844527452,0.0001352344967144,0.0038067732086671,-0.0021335755664295,-0.5664047092076917,0.02647502977926631
1660608141049063,-0.8917982757305256,-0.1146868085755703,0.3952086671244377,-0.0004813473142574,0.000466425880581,0.0002415508191399,0.0035822355578108,-0.0019731047875709,-0.5661034839042857,-0.0004813431630854,0.0004664304063186,0.0002415522205954,0.0035822347355163,-0.0019731017802579,-0.5661034869302863,0.025533707429721473
1660608141065065,-0.8926527809567406,-0.1154192416266118,0.3978942549782563,-0.0007628899157902,0.0009522419325778,0.000315423285576,0.0033541526929618,-0.0018642047203096,-0.56579656884105,-0.0007628837052064,0.0009522487284733,0.000315425425658,0.0033541514661157,-0.0018642019441743,-0.5657965722905696,0.024849380174000214
1660608141081068,-0.8958266575112535,-0.118471046005951,0.4038757915617612,-0.0010652451683638,0.0015550119274574,0.0003506509681591,0.0031246827879899,-0.0017927705650707,-0.565484309826033,-0.0010652369092841,0.001555020998117,0.0003506538721404,0.0031246811687229,-0.0017927680169224,-0.5654843136835016,0.024627297504011214
1660608141097070,-0.8928969253070878,-0.118471046005951,0.4046082246128027,-0.0013888226564855,0.0022237991039897,0.0003338670995235,0.0028954166133526,-0.0017812672573362,-0.5651670217060123,-0.0013888123599263,0.0022238104538285,0.0003338707926797,0.0028954146136509,-0.0017812649339391,-0.5651670259560978,0.024476316361110986
1660608141113072,-0.8924086366063935,-0.1134660868238346,0.3958190280003056,-0.0017438774264055,0.0029182999961025,0.000237969705048,0.0026674756756699,-0.0018232467522336,-0.5648450726835976,-0.0017438651034841,0.002918313629344,0.0002379742126551,0.0026674733073759,-0.0018232446503084,-0.5648450773112038,0.024793721018484965
1660608141129074,-0.8938735027084763,-0.1112687876707104,0.3955748836499584,-0.0021528577275953,0.0036146705510315,3.686661792728072e-05,0.0024417509387089,-0.0019078237138866,-0.5645190814548187,-0.00215284338953,0.0036146864717065,3.687196526034996e-05,0.0024417482135218,-0.001907821830112,-0.5645190864450833,0.02533950724037664
1660608141145076,-0.892530708781567,-0.1122453650720989,0.3980163271534298,-0.0026487491043621,0.0042922330676385,-0.0002777028089043,0.0022189635126056,-0.0020026244211022,-0.5641901276243717,-0.0026487327624727,0.0042922512795846,-0.0002776965965739,0.002218960442082,-0.0020026227521168,-0.5641901329626652,0.025528173306359214
1660608141161079,-0.8948500801098649,-0.1173723964293889,0.3976501106279091,-0.003268825344633,0.0049290298251309,-0.0007019673176862,0.0019995583277267,-0.0021021745993179,-0.5638598716746134,-0.0032688070103415,0.0049290503319916,-0.0007019602150922,0.0019995549232811,-0.0021021731417216,-0.5638598773465363,0.02555003252545766
1660608141177081,-0.8953383688105592,-0.1173723964293889,0.3952086671244377,-0.0040451885790813,0.005517416481039,-0.0012288106871492,0.0017837329555739,-0.0021928455509478,-0.5635305520979016,-0.0040451682639115,0.0055174392862633,-0.0012288026690326,0.001783729228479,-0.0021928443013033,-0.5635305580892841,0.025252877028233936
1660608141193083,-0.8980239566643777,-0.1166399633783475,0.3944762340733963,-0.0049951067175854,0.0060768347957256,-0.0018410670888072,0.0015716708626736,-0.002264232334102,-0.5632048197320857,-0.0049950844331639,0.0060768599025667,-0.0018410581299184,0.001571666824061,-0.002264231288937,-0.5632048260289849,0.024698808975774773
