Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Timestamp (microseconds),angles,Seconds,Body Pink X meters,Hand Pink X meters,Elbow Orange X meters,Shoulder Green X meters,Body Pink Y meters,Hand Pink Y meters,Elbow Orange Y meters,Shoulder Green Y meters,angular velocity
1.0,363.5,1357.842285,366.6000061,1865.59729,259.2972412,1434.933838,202.7323303,1190.944458,1660787190000000.0,0.0,0.0,-0.2047519112011102,0.2064980794919221,0.1460566869460117,0.1141948613237407,-0.7648440246586867,-1.050851748718327,-0.8082680764171783,-0.6708339859968924,
2.0,363.5,1357.842285,366.551178,1865.556396,259.2972412,1434.933838,203.3298187,1190.617554,1660787190016666.8,0.0031226508212819,0.01666675,-0.2047519112011102,0.2064705756492939,0.1460566869460117,0.1145314139834944,-0.7648440246586867,-1.0508287139874974,-0.8082680764171783,-0.6706498478434418,0.0031226508212819
3.0,363.5,1357.842285,367.0703125,1866.213501,259.2972412,1434.933838,203.92276,1190.581299,1660787190033333.2,0.0257889771523421,0.03333325,-0.2047519112011102,0.2067629932037518,0.1460566869460117,0.1148654053573736,-0.7648440246586867,-1.0511988474252134,-0.8082680764171783,-0.6706294261638253,0.022666326331060197
4.0,363.5,1357.842285,366.6205139,1866.307739,259.3955078,1434.843262,202.966095,1191.197754,1660787190050000.0,0.012173276257008,0.05,-0.2047519112011102,0.2065096311046993,0.1461120384567606,0.1143265360667843,-0.7648440246586867,-1.0512519297102418,-0.8082170568597948,-0.670976662310784,-0.013615700895334098
5.0,363.5,1357.842285,366.6158142,1866.166626,259.3560486,1434.611694,202.966095,1191.197754,1660787190066666.5,0.0098075134643574,0.0666665,-0.2047519112011102,0.2065069838624515,0.146089811918619,0.1143265360667843,-0.7648440246586867,-1.051172443722772,-0.8080866194716984,-0.670976662310784,-0.0023657627926506
6.0,363.5,1357.842285,366.6158142,1866.166626,259.2449646,1434.707031,202.966095,1191.197754,1660787190083333.2,0.0098075134643574,0.08333325,-0.2047519112011102,0.2065069838624515,0.1460272406358024,0.1143265360667843,-0.7648440246586867,-1.051172443722772,-0.8081403208003316,-0.670976662310784,0.0
7.0,363.5,1357.5,366.7300415,1865.867798,259.2449646,1434.707031,202.966095,1191.197754,1660787190100000.0,0.0051649478310066,0.1,-0.2047519112011102,0.2065713257001031,0.1460272406358024,0.1143265360667843,-0.7646512227111615,-1.051004120190116,-0.8081403208003316,-0.670976662310784,-0.0046425656333508
8.0,363.4098511,1357.59021,367.2144775,1866.276489,259.3739319,1434.798218,203.3333282,1191.166626,1660787190116666.5,0.0360752971232939,0.1166665,-0.2047011322201813,0.2068441983186852,0.146099885205699,0.1145333908110938,-0.7647020361084365,-1.051234327241947,-0.8081916845211753,-0.6709591285625257,0.030910349292287302
9.0,363.5,1357.5,367.3765869,1866.142456,259.2581482,1434.654175,203.3333282,1191.166626,1660787190133333.5,0.0516774475565707,0.1333335,-0.2047519112011102,0.2069355111370447,0.1460346666806346,0.1145333908110938,-0.7646512227111615,-1.051158829269694,-0.808110548126278,-0.6709591285625257,0.015602150433276799
10.0,363.4367065,1357.586548,368.2606812,1866.799194,259.3066711,1434.73938,203.0500031,1191.116699,1660787190150000.0,0.1096080607677854,0.15,-0.2047162593026464,0.2074335028773666,0.1460619986105163,0.114373799736221,-0.7646999733807918,-1.0515287559840223,-0.808158542312231,-0.6709310057326205,0.0579306132112147
