Frame #,Index Pink X,Index Pink Y,Thumb Pink X,Thumb Pink Y,Hand Green X,Hand Green Y,Timestamp (microseconds),angles,Seconds,Index Pink X meters,Index Pink Y meters,Thumb Pink X meters,Hand Green X meters,Thumb Pink Y meters,Hand Green Y meters,angular velocity
1.0,229.7523499,550.9025879,298.6919861,948.3870239,792.4569702,930.3100586,1660171074473330.0,36.086778798575935,0.0,0.0541037878485678,-0.1297306284525126,0.070338204832532,0.1866136464479296,-0.2233332123120983,-0.2190763144132833,
2.0,229.6498871,550.6427002,298.6685791,948.3526001,792.746582,929.9025269,1660171074489996.8,36.09983058150524,0.01666675,0.0540796591482694,-0.1296694281688534,0.0703326927785193,0.1866818463831749,-0.2233251059402899,-0.218980345825158,0.013051782929302647
3.0,229.8037872,550.9019165,298.3491211,947.7731934,792.4521484,930.25,1660171074506663.2,36.019711977698705,0.03333325,0.0541159006855764,-0.1297304703462596,0.0702574644386741,0.1866125109746935,-0.2231886629520529,-0.2190621713685906,-0.08011860380653246
4.0,229.8037872,550.9019165,298.3491211,947.7731934,792.1841431,929.9797363,1660171074523330.0,36.045855794392,0.05,0.0541159006855764,-0.1297304703462596,0.0702574644386741,0.1865493990983631,-0.2231886629520529,-0.2189985276674736,0.02614381669329191
5.0,228.9392853,552.0756226,297.6636047,947.9938354,791.6107788,929.8284912,1660171074539996.5,35.981826495733955,0.0666665,0.05391232136457,-0.1300068633662161,0.070096033951071,0.1864143790193057,-0.2232406213671188,-0.2189629113492636,-0.06402929865804197
6.0,228.5871887,552.1708374,297.4194641,948.1691895,791.2709351,929.803894,1660171074556663.2,35.996412653424606,0.08333325,0.0538294070450564,-0.1300292852537027,0.0700385419113449,0.1863343501035863,-0.2232819150515095,-0.2189571190181251,0.014586157690651191
7.0,228.706955,552.2710571,297.1989441,948.4541626,791.2393188,929.557251,1660171074573330.0,36.03993817539601,0.1,0.0538576105019065,-0.1300528857321718,0.069986612225744,0.1863269048627062,-0.223349022631265,-0.218899037694682,0.04352552197140369
8.0,228.8943634,552.2488403,297.1939087,948.5031738,791.1575317,929.6898804,1660171074589996.5,36.05416011417739,0.1166665,0.0539017428222899,-0.1300476539552851,0.0699854264523952,0.1863076450296335,-0.2233605641522469,-0.2189302702497493,0.014221938781382448
9.0,229.154892,551.5650635,297.4437866,947.6348267,791.8733521,929.8901367,1660171074606663.5,35.96902179913708,0.1333335,0.0539630940298359,-0.1298866331215958,0.0700442695540894,0.1864762117279769,-0.2231560793350175,-0.2189774280889412,-0.08513831504031089
10.0,229.3553772,550.8456421,298.4764709,946.8588257,792.293335,929.548584,1660171074623330.0,35.937365621471635,0.15,0.0540103057720979,-0.1297172184330572,0.0702874537143649,0.1865751124170515,-0.2229733408625164,-0.2188969967252231,-0.031656177665446705
11.0,229.5221863,550.8301392,297.8312988,947.0777588,792.293335,929.548584,1660171074639996.8,35.96903659060656,0.16666675,0.0540495872164946,-0.1297135676951518,0.0701355238018334,0.1865751124170515,-0.2230248968531323,-0.2188969967252231,0.031670969134921734
