Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Shoulder Pink X,Shoulder Pink Y,Back Pink X,Back Pink Y,Neck Green X,Neck Green Y,Timestamp (microseconds),angles,Seconds,Arm Pink X meters,Leg Pink X meters,Shoulder Pink X meters,Back Pink X meters,Neck Green X meters,Arm Pink Y meters,Leg Pink Y meters,Shoulder Pink Y meters,Back Pink Y meters,Neck Green Y meters,angular velocity,Arm Pink m/s,Leg Pink m/s,Shoulder Pink m/s,Back Pink m/s,Neck Green m/s
1.0,458.1635132,960.2893066,512.2116699,1256.21167,472.1635132,856.2893066,569.5,989.0,565.6581421,810.777771,1660608411725000.0,0.0,0.0,0.6939393448653657,0.7758012595988643,0.7151438942199412,0.862570775530769,0.8567518565697821,-1.4544644283193442,-1.9026715968791963,-1.2969449188282116,-1.4979499508339431,-1.2280126614830171,,,,,,
2.0,458.5,960.5,512.2116699,1256.21167,471.5428467,856.4143066,569.5,989.0,566.1555786,812.0,1660608411741666.5,-0.152431548545001,0.0166665,0.6944489913623487,0.7758012595988643,0.7142038261176568,0.862570775530769,0.8575052791994263,-1.4547835467907,-1.9026715968791963,-1.2971342451617345,-1.4979499508339431,-1.229863862565381,-9.145984372543785,0.03607872146198029,0.0,0.05753660566102442,0.0,0.11991883914689559
3.0,458.1635132,960.2893066,512.2116699,1256.21167,472.1635132,856.2893066,569.5,989.0,566.0,810.6231689,1660608411758333.2,-0.1108304098210996,0.03333325,0.6939393448653657,0.7758012595988643,0.7151438942199412,0.862570775530769,0.8572696381921252,-1.4544644283193442,-1.9026715968791963,-1.2969449188282116,-1.4979499508339431,-1.2277784994930334,2.496055843154868,0.03607872146198029,0.0,0.05753660566102442,0.0,0.12591805660904626
4.0,458.5,960.5,512.5,1256.5,472.8641968,856.5,569.5,989.0,566.3086548,811.8641968,1660608411774999.8,-0.2027579330157565,0.04999975,0.6944489913623487,0.776237967444283,0.7162051570755227,0.862570775530769,0.8577371300449913,-1.4547835467907,-1.9031083045731545,-1.2972640372995674,-1.4979499508339431,-1.2296581735898873,-5.515706548744902,0.03607872146198029,0.03705588304122815,0.06649222218147673,0.0,0.11621619523270556
5.0,458.1635132,960.2893066,512.5,1256.5,472.5,856.5,569.5,989.0,565.7126465,811.7126465,1660608411791666.5,-0.01109668285293,0.0666665,0.6939393448653657,0.776237967444283,0.7156535407169242,0.862570775530769,0.8568344095154852,-1.4544644283193442,-1.9031083045731545,-1.2972640372995674,-1.4979499508339431,-1.229428633888741,11.49961751168203,0.03607872146198029,0.0,0.033096981515907675,0.0,0.05588679793707003
6.0,458.5,960.5,512.5,1256.5,472.7824097,856.875,569.333313,989.0,565.7619019,812.3237915,1660608411808333.2,-0.0233004769239235,0.08333325,0.6944489913623487,0.776237967444283,0.716081281461343,0.8623183096223215,0.8569090122697908,-1.4547835467907,-1.9031083045731545,-1.2978320163001364,-1.4979499508339431,-1.2303542806255483,-0.7322239831396946,0.03607872146198029,0.0,0.04266174213840726,0.015147954506851136,0.05571889112610764
7.0,458.2787781,960.2788086,512.5,1256.5,472.5,856.5,569.5,989.0,565.7126465,811.7126465,1660608411824999.8,-0.01109668285293,0.09999975,0.6941139263125728,0.776237967444283,0.7156535407169242,0.862570775530769,0.8568344095154852,-1.4544485279365496,-1.9031083045731545,-1.2972640372995674,-1.4979499508339431,-1.229428633888741,0.7322349666092761,0.028429252413373268,0.0,0.04266174213840726,0.015147954506851136,0.05571889112610764
8.0,458.5,960.5,512.5,1256.5,472.5,856.5,569.333313,989.0,566.0,811.666687,1660608411841666.5,-0.1044899367100807,0.1166665,0.6944489913623487,0.776237967444283,0.7156535407169242,0.8623183096223215,0.8572696381921252,-1.4547835467907,-1.9031083045731545,-1.2972640372995674,-1.4979499508339431,-1.2293590231397369,-5.603567213592971,0.028429252413373268,0.0,0.0,0.015147954506851136,0.026445619040746594
9.0,458.2787781,960.2788086,512.5,1256.5,472.5,856.5,569.333313,989.0,566.0,811.8627319,1660608411858333.2,-0.1032984192316515,0.13333325,0.6941139263125728,0.776237967444283,0.7156535407169242,0.8623183096223215,0.8572696381921252,-1.4544485279365496,-1.9031083045731545,-1.2972640372995674,-1.4979499508339431,-1.2296559548367196,0.0714906912522951,0.028429252413373268,0.0,0.0,0.0,0.017815901818964974
10.0,458.8101807,960.5,512.5,1256.5,473.0218506,856.8087158,569.333313,989.0,566.2113647,812.2113647,1660608411875000.0,-0.1696517518779944,0.15,0.6949187943596334,0.776237967444283,0.7164439412028825,0.8623183096223215,0.8575897734216227,-1.4547835467907,-1.9031083045731545,-1.2977316215436845,-1.4979499508339431,-1.2301839977948783,-3.9811800528803065,0.05230851499455371,0.0,0.05510104021503082,0.0,0.03705047032056269
11.0,458.2787781,960.2788086,512.5,1256.5,472.5,856.5,569.333313,989.0,566.0,811.8627319,1660608411891666.8,-0.1032984192316515,0.16666675,0.6941139263125728,0.776237967444283,0.7156535407169242,0.8623183096223215,0.8572696381921252,-1.4544485279365496,-1.9031083045731545,-1.2972640372995674,-1.4979499508339431,-1.2296559548367196,3.9811800528803065,0.05230851499455371,0.0,0.05510104021503082,0.0,0.03705047032056269
12.0,458.8101807,960.5,512.5,1256.5,472.7824097,856.875,569.333313,989.0,566.0,812.0,1660608411908333.2,-0.1024625636136849,0.18333325,0.6949187943596334,0.776237967444283,0.716081281461343,0.8623183096223215,0.8572696381921252,-1.4547835467907,-1.9031083045731545,-1.2978320163001364,-1.4979499508339431,-1.229863862565381,0.0501518385963822,0.05230851499455371,0.0,0.04266174213840726,0.0,0.01247446371968497
